fd	mg
400.0	1.27562981099e-19
390.00000000000006	1.28427021257e-19
380.0	1.29303624804e-19
370.00000000000006	1.30193087864e-19
359.99999999999994	1.31095716197e-19
350.0	1.32011825599e-19
339.99999999999994	1.32941742314e-19
330.0	1.33885803477e-19
319.99999999999994	1.34844357574e-19
309.99999999999994	1.3581776506e-19
299.99999999999994	1.36806666646e-19
289.99999999999994	8.41153372886e-19
279.99999999999994	1.62764343936e-18
269.99999999999994	2.35406867896e-18
259.9999999999999	3.05261646393e-18
249.9999999999999	3.72733263777e-18
239.9999999999999	4.38157294213e-18
229.99999999999986	5.01812779112e-18
219.99999999999986	5.63932579597e-18
209.99999999999983	6.24711811464e-18
199.99999999999983	6.84314654333e-18
189.99999999999983	7.42879831974e-18
179.99999999999983	8.00525029118e-18
169.9999999999998	8.57350466979e-18
159.9999999999998	9.13441817239e-18
149.9999999999998	9.68872596985e-18
139.99999999999977	1.023706156e-17
129.9999999999998	1.07799734261e-17
119.99999999999977	1.13179391401e-17
109.99999999999976	1.185137741e-17
99.99999999999974	1.23806584446e-17
89.99999999999974	1.29061129143e-17
79.99999999999974	1.34280397151e-17
69.99999999999973	1.394671269e-17
59.99999999999973	1.44623864324e-17
49.99999999999971	1.49753012667e-17
39.9999999999997	1.54856874933e-17
29.99999999999969	1.59937689734e-17
19.999999999999684	1.64997661252e-17
9.999999999999677	1.70038984001e-17
-3.3306690738754696e-13	1.75063863029e-17
-10.000000000000343	1.80074530193e-17
-20.00000000000035	1.85073257094e-17
-30.00000000000036	1.90062365266e-17
-40.00000000000037	1.95044234203e-17
-50.00000000000038	2.00021307851e-17
-60.00000000000039	2.04996100454e-17
-70.0000000000004	2.07270160303e-17
-80.0000000000004	1.34280397151e-17
-90.00000000000041	1.29061129143e-17
-100.00000000000044	1.23806584446e-17
-110.00000000000043	1.185137741e-17
-120.00000000000043	1.13179391401e-17
-130.00000000000045	1.07799734261e-17
-140.00000000000045	1.023706156e-17
-150.00000000000048	9.68872596985e-18
-160.00000000000048	9.13441817239e-18
-170.00000000000048	8.57350466979e-18
-180.0000000000005	8.00525029118e-18
-190.0000000000005	7.42879831974e-18
-200.00000000000054	6.84314654333e-18
-210.00000000000054	6.24711811464e-18
-220.0000000000005	5.63932579597e-18
-230.00000000000054	5.01812779112e-18
-240.00000000000057	4.38157294213e-18
-250.00000000000054	3.72733263777e-18
-260.00000000000057	3.05261646393e-18
-270.00000000000057	2.35406867896e-18
-280.00000000000057	1.62764343936e-18
-290.00000000000057	8.68458686643e-19
-300.0000000000006	1.55322009866e-19
-310.00000000000057	1.35817745057e-19
-320.0000000000006	1.34844357574e-19
-330.0000000000006	1.33885803477e-19
-340.0000000000007	1.32941742314e-19
-350.0000000000006	1.32011825599e-19
-360.0000000000006	1.31095716197e-19
-370.0000000000006	1.30193087864e-19
-380.0000000000007	1.29303624804e-19
-390.0000000000007	1.28427021257e-19
-400.0	1.27562981099e-19
-390.00000000000006	1.28427021257e-19
-380.0	1.29303624804e-19
-370.00000000000006	1.30193087864e-19
-359.99999999999994	1.31095716197e-19
-350.0	1.32011825599e-19
-339.99999999999994	1.32941742314e-19
-330.0	1.33885803477e-19
-319.99999999999994	1.34844357574e-19
-309.99999999999994	1.3581776506e-19
-299.99999999999994	1.36806666646e-19
-289.99999999999994	8.41153372889e-19
-279.99999999999994	1.62764343936e-18
-269.99999999999994	2.35406867896e-18
-259.9999999999999	3.05261646393e-18
-249.9999999999999	3.72733263777e-18
-239.9999999999999	4.38157294213e-18
-229.99999999999986	5.01812779112e-18
-219.99999999999986	5.63932579597e-18
-209.99999999999983	6.24711811464e-18
-199.99999999999983	6.84314654333e-18
-189.99999999999983	7.42879831974e-18
-179.99999999999983	8.00525029118e-18
-169.9999999999998	8.57350466979e-18
-159.9999999999998	9.13441817239e-18
-149.9999999999998	9.68872596985e-18
-139.99999999999977	1.023706156e-17
-129.9999999999998	1.07799734261e-17
-119.99999999999977	1.13179391401e-17
-109.99999999999976	1.185137741e-17
-99.99999999999974	1.23806584446e-17
-89.99999999999974	1.29061129143e-17
-79.99999999999974	1.34280397151e-17
-69.99999999999973	1.394671269e-17
-59.99999999999973	1.44623864324e-17
-49.99999999999971	1.49753012667e-17
-39.9999999999997	1.54856874933e-17
-29.99999999999969	1.59937689734e-17
-19.999999999999684	1.64997661252e-17
-9.999999999999677	1.70038984001e-17
3.3306690738754696e-13	1.75063863029e-17
10.000000000000343	1.80074530193e-17
20.00000000000035	1.85073257094e-17
30.00000000000036	1.90062365266e-17
40.00000000000037	1.95044234203e-17
50.00000000000038	2.00021307851e-17
60.00000000000039	2.049961005e-17
70.0000000000004	1.8897140943e-17
80.0000000000004	1.34280397151e-17
90.00000000000041	1.29061129143e-17
100.00000000000044	1.23806584446e-17
110.00000000000043	1.185137741e-17
120.00000000000043	1.13179391401e-17
130.00000000000045	1.07799734261e-17
140.00000000000045	1.023706156e-17
150.00000000000048	9.68872596985e-18
160.00000000000048	9.13441817239e-18
170.00000000000048	8.57350466979e-18
180.0000000000005	8.00525029118e-18
190.0000000000005	7.42879831974e-18
200.00000000000054	6.84314654333e-18
210.00000000000054	6.24711811464e-18
220.0000000000005	5.63932579597e-18
230.00000000000054	5.01812779112e-18
240.00000000000057	4.38157294213e-18
250.00000000000054	3.72733263777e-18
260.00000000000057	3.05261646393e-18
270.00000000000057	2.35406867896e-18
280.00000000000057	1.62764343936e-18
290.00000000000057	8.68458686643e-19
300.0000000000006	1.55322009866e-19
310.00000000000057	1.35817745057e-19
320.0000000000006	1.34844357574e-19
330.0000000000006	1.33885803477e-19
340.0000000000007	1.32941742314e-19
350.0000000000006	1.32011825599e-19
360.0000000000006	1.31095716197e-19
370.0000000000006	1.30193087864e-19
380.0000000000007	1.29303624804e-19
390.0000000000007	1.28427021257e-19
