fd	mg
400.0	-411539807.7401041
390.00000000000006	-416120968.52505165
380.0	-420786551.1831451
370.00000000000006	-425538740.99419725
359.99999999999994	-430379796.41404736
350.0	-435312052.09555066
339.99999999999994	-440337922.0586047
330.0	-445459903.0177193
319.99999999999994	-450680577.8768171
309.99999999999994	-456002621.22963846
299.99999999999994	-461432763.08094025
289.99999999999994	-10469633228.12654
279.99999999999994	-20135006903.980125
269.99999999999994	-27745737937.006886
259.9999999999999	-33966679317.134136
249.9999999999999	-39038179066.70604
239.9999999999999	-43152043751.24518
229.99999999999986	-46462542949.38411
219.99999999999986	-49094851065.84212
209.99999999999983	-51151485526.11186
199.99999999999983	-52717213514.61224
189.99999999999983	-53862801126.5817
179.99999999999983	-54647890865.409744
169.9999999999998	-55123222302.22514
159.9999999999998	-55332356005.41102
149.9999999999998	-55313019820.44151
139.99999999999977	-55098166202.092354
129.9999999999998	-54716806936.30137
119.99999999999977	-54194675154.63535
109.99999999999976	-53554752462.490036
99.99999999999974	-52817690099.642296
89.99999999999974	-52002146463.206116
79.99999999999974	-51125058412.06188
69.99999999999973	-50201860073.03935
59.99999999999973	-49246660044.53916
49.99999999999971	-48272385701.17145
39.9999999999997	-47290901572.96071
29.99999999999969	-46313107387.12237
19.999999999999684	-45349020238.965675
9.999999999999677	-44407844446.42792
-3.3306690738754696e-13	-43498031901.95782
-10.000000000000343	-42627335138.042786
-20.00000000000035	-41802854846.77868
-30.00000000000036	-41031083221.033775
-40.00000000000037	-40317944198.81674
-50.00000000000038	-39668831478.96172
-60.00000000000039	-39088645650.72753
-70.0000000000004	-48707630051.62049
-80.0000000000004	-51125058412.06198
-90.00000000000041	-52002146463.20602
-100.00000000000044	-52817690099.64251
-110.00000000000043	-53554752462.48998
-120.00000000000043	-54194675154.63556
-130.00000000000045	-54716806936.30137
-140.00000000000045	-55098166202.09238
-150.00000000000048	-55313019820.4415
-160.00000000000048	-55332356005.41101
-170.00000000000048	-55123222302.22512
-180.0000000000005	-54647890865.4097
-190.0000000000005	-53862801126.58154
-200.00000000000054	-52717213514.61207
-210.00000000000054	-51151485526.11172
-220.0000000000005	-49094851065.842
-230.00000000000054	-46462542949.38399
-240.00000000000057	-43152043751.244995
-250.00000000000054	-39038179066.70562
-260.00000000000057	-33966679317.13374
-270.00000000000057	-27745737937.00645
-280.00000000000057	-20135006903.979595
-290.00000000000057	-10831440795.764763
-300.0000000000006	-741896555.5504814
-310.00000000000057	-456002346.3820295
-320.0000000000006	-450680577.87593853
-330.0000000000006	-445459903.01771986
-340.0000000000007	-440337922.0586047
-350.0000000000006	-435312052.09555113
-360.0000000000006	-430379796.4140462
-370.0000000000006	-425538740.9941978
-380.0000000000007	-420786551.1831458
-390.0000000000007	-416120968.5250519
-400.0	-411539807.74010354
-390.00000000000006	-416120968.52505475
-380.0	-420786551.18314517
-370.00000000000006	-425538740.9941983
-359.99999999999994	-430379796.41404676
-350.0	-435312052.0955538
-339.99999999999994	-440337922.05860436
-330.0	-445459903.0177205
-319.99999999999994	-450680577.8768172
-309.99999999999994	-456002621.2296392
-299.99999999999994	-461432763.08094203
-289.99999999999994	-10469633228.147654
-279.99999999999994	-20135006903.98013
-269.99999999999994	-27745737937.006866
-259.9999999999999	-33966679317.13415
-249.9999999999999	-39038179066.70595
-239.9999999999999	-43152043751.24527
-229.99999999999986	-46462542949.3842
-219.99999999999986	-49094851065.84209
-209.99999999999983	-51151485526.11185
-199.99999999999983	-52717213514.612274
-189.99999999999983	-53862801126.58174
-179.99999999999983	-54647890865.409676
-169.9999999999998	-55123222302.225044
-159.9999999999998	-55332356005.41095
-149.9999999999998	-55313019820.4415
-139.99999999999977	-55098166202.092384
-129.9999999999998	-54716806936.30125
-119.99999999999977	-54194675154.635544
-109.99999999999976	-53554752462.48989
-99.99999999999974	-52817690099.64244
-89.99999999999974	-52002146463.20606
-79.99999999999974	-51125058412.06193
-69.99999999999973	-50201860073.0391
-59.99999999999973	-49246660044.53924
-49.99999999999971	-48272385701.17154
-39.9999999999997	-47290901572.96067
-29.99999999999969	-46313107387.1224
-19.999999999999684	-45349020238.96547
-9.999999999999677	-44407844446.4279
3.3306690738754696e-13	-43498031901.957855
10.000000000000343	-42627335138.04301
20.00000000000035	-41802854846.778564
30.00000000000036	-41031083221.033775
40.00000000000037	-40317944198.81684
50.00000000000038	-39668831478.96183
60.00000000000039	-39088645822.16811
70.0000000000004	-46222698283.18667
80.0000000000004	-51125058412.06179
90.00000000000041	-52002146463.20617
100.00000000000044	-52817690099.64256
110.00000000000043	-53554752462.490105
120.00000000000043	-54194675154.63545
130.00000000000045	-54716806936.30131
140.00000000000045	-55098166202.0923
150.00000000000048	-55313019820.441475
160.00000000000048	-55332356005.41095
170.00000000000048	-55123222302.22501
180.0000000000005	-54647890865.40967
190.0000000000005	-53862801126.581665
200.00000000000054	-52717213514.61209
210.00000000000054	-51151485526.11176
220.0000000000005	-49094851065.84195
230.00000000000054	-46462542949.38405
240.00000000000057	-43152043751.24501
250.00000000000054	-39038179066.70564
260.00000000000057	-33966679317.133762
270.00000000000057	-27745737937.00659
280.00000000000057	-20135006903.979607
290.00000000000057	-10831440795.764782
300.0000000000006	-741896555.5519142
310.00000000000057	-456002346.3820295
320.0000000000006	-450680577.8759386
330.0000000000006	-445459903.01771945
340.0000000000007	-440337922.0586047
350.0000000000006	-435312052.09555435
360.0000000000006	-430379796.41404825
370.0000000000006	-425538740.994198
380.0000000000007	-420786551.18314487
390.0000000000007	-416120968.5250546
